Float pumping speeds by length of pipe between two pumps:
length: 208 measured in pump: 971.65832519531 measured out pump: 971.65832519531
length: 209 measured in pump: 967.74066162109 measured out pump: 967.74066162109
length: 210 measured in pump: 963.85345458984 measured out pump: 963.85345458984
length: 211 measured in pump: 959.99829101563 measured out pump: 959.99829101563
length: 212 measured in pump: 956.17370605469 measured out pump: 956.17370605469
length: 213 measured in pump: 952.37963867188 measured out pump: 952.37963867188
length: 214 measured in pump: 948.61517333984 measured out pump: 948.61517333984
length: 215 measured in pump: 944.88055419922 measured out pump: 944.88055419922
length: 216 measured in pump: 941.17462158203 measured out pump: 941.17462158203
length: 217 measured in pump: 937.49853515625 measured out pump: 937.49853515625
length: 218 measured in pump: 933.85101318359 measured out pump: 933.85101318359
length: 219 measured in pump: 930.23120117188 measured out pump: 930.23120117188
length: 220 measured in pump: 926.63909912109 measured out pump: 926.63909912109
length: 221 measured in pump: 923.0751953125 measured out pump: 923.0751953125
length: 222 measured in pump: 919.53887939453 measured out pump: 919.53887939453
length: 223 measured in pump: 916.02905273438 measured out pump: 916.02905273438
length: 224 measured in pump: 912.54650878906 measured out pump: 912.54650878906
length: 225 measured in pump: 909.08947753906 measured out pump: 909.08947753906
length: 226 measured in pump: 905.65936279297 measured out pump: 905.65936279297
length: 227 measured in pump: 902.25421142578 measured out pump: 902.25421142578
length: 228 measured in pump: 898.87438964844 measured out pump: 898.87438964844
length: 229 measured in pump: 895.52124023438 measured out pump: 895.52124023438
length: 230 measured in pump: 892.19226074219 measured out pump: 892.19226074219
length: 231 measured in pump: 888.88751220703 measured out pump: 888.88751220703
length: 232 measured in pump: 885.60693359375 measured out pump: 885.60693359375
length: 233 measured in pump: 882.35131835938 measured out pump: 882.35131835938
length: 234 measured in pump: 879.11962890625 measured out pump: 879.11962890625
length: 235 measured in pump: 875.91088867188 measured out pump: 875.91088867188
length: 236 measured in pump: 872.72589111328 measured out pump: 872.72589111328
length: 237 measured in pump: 869.56378173828 measured out pump: 869.56378173828
length: 238 measured in pump: 866.42462158203 measured out pump: 866.42462158203
length: 239 measured in pump: 863.30749511719 measured out pump: 863.30749511719
length: 240 measured in pump: 860.21313476563 measured out pump: 860.21313476563
length: 241 measured in pump: 857.14129638672 measured out pump: 857.14129638672
length: 242 measured in pump: 854.09136962891 measured out pump: 854.09136962891
